marker,key,randoxCode,resultType,panels,healthAreas,duplicateGroup,templateFamily,reviewStatus,reviewedBy,chars,flags,whatItIs,highMeans,lowMeans,lifestyleContext
"Liquorice (IgG)","liquorice-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","396","TEMPLATE-FAMILY","Measures IgG antibodies to Liquorice in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Liquorice.","","",""
"Lobster (IgG)","lobster-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","392","TEMPLATE-FAMILY","Measures IgG antibodies to Lobster in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Lobster.","","",""
"Lp-PLA2","lp-pla2","","MEASURED","RP10 Heart Health","","","","DRAFT","","228","","An enzyme linked to inflammation within blood vessel walls.","Associated with increased cardiovascular risk, independent of cholesterol levels.","","Anti-inflammatory lifestyle habits. Diet, exercise, not smoking. Support lower levels."
"Lychee (IgG)","lychee-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Lychee in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Lychee.","","",""
"Lymphocytes","lymphocytes","","MEASURED","Ran Chip Insight 360; Core; Insight 360; Signature","Full Blood Count","","","DRAFT","","241","","White blood cells central to your immune system’s response to viruses.","Can reflect a recent or ongoing viral infection.","Can reflect immune suppression or recent illness.","Often interpreted alongside white cell count and recent health history."
"Macadamia Nut (IgG)","macadamia-nut-igg","","SENSITIVITY","Signature","Food Sensitivity: Nuts & Seeds","","yes","DRAFT","","404","TEMPLATE-FAMILY","Measures IgG antibodies to Macadamia Nut in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Macadamia Nut.","","",""
"Mackerel (IgG)","mackerel-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","394","TEMPLATE-FAMILY","Measures IgG antibodies to Mackerel in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Mackerel.","","",""
"Macrophage Inflammatory Protein 1 alpha","mip-1-alpha","","MEASURED","Insight 360; Signature","Kidney Health","","","DRAFT","","204","","Macrophage inflammatory protein 1 alpha, a signalling protein that recruits white blood cells to inflamed tissue. It is measured as a research marker and has no established interpretation in routine care.","","",""
"Magnesium","magnesium","","MEASURED","Core; Insight 360; Signature","Kidney Health; Nutritional Health","","","DRAFT","","225","","A mineral required by hundreds of enzyme reactions, including those of nerve and muscle function. Blood holds only a small fraction of the body’s total magnesium, so a serum measurement is an indirect guide to overall stores.","","",""
"Magnesium Deficiency Risk","magnesium-deficiency-risk","","GENETIC","Signature","Diet & Nutrition","","","DRAFT","","166","TEMPLATED","Relates to inherited variation in genes involved in absorbing and retaining magnesium. It describes a tendency and is not a measurement of the magnesium in your body.","","",""
"Malt (IgG)","malt-igg","","SENSITIVITY","Signature","Food Sensitivity: Grains","","yes","DRAFT","","386","TEMPLATE-FAMILY","Measures IgG antibodies to Malt in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Malt.","","",""
"Mango (IgG)","mango-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","388","TEMPLATE-FAMILY","Measures IgG antibodies to Mango in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Mango.","","",""
"Marjoram (IgG)","marjoram-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","394","TEMPLATE-FAMILY","Measures IgG antibodies to Marjoram in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Marjoram.","","",""
"Marrow (IgG)","marrow-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Marrow in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Marrow.","","",""
"Mean Cell Haemoglobin (MCH)","mch","","MEASURED","Core; Insight 360; Signature","Full Blood Count","","","DRAFT","","304","","The average amount of haemoglobin carried inside each red blood cell.","Can accompany anaemia related to vitamin B12 or folate.","Can accompany iron-deficiency anaemia, where red cells are smaller and carry less haemoglobin.","Most useful alongside MCV and haemoglobin when working out the cause of an anaemia."
"Mean Cell Haemoglobin Concentration (MCHC)","mchc","","MEASURED","Core; Insight 360; Signature","Full Blood Count","","","DRAFT","","215","","How concentrated the haemoglobin is within your red blood cells.","Uncommon; can occur in certain inherited red cell conditions.","Can accompany iron deficiency.","Interpreted alongside MCV and MCH rather than on its own."
"Mean Cell Volume (MCV)","mcv","","MEASURED","Ran Chip Insight 360; Core; Signature; Insight 360","Full Blood Count","","","DRAFT","","207","","The average size of your red blood cells.","Can relate to vitamin B12 or folate deficiency, or alcohol intake.","Can relate to iron deficiency.","A useful clue to the underlying cause when haemoglobin is also low."
"Melon (Galia/Honeydew) (IgG)","melon-galia-honeydew-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","422","TEMPLATE-FAMILY","Measures IgG antibodies to Melon (Galia/Honeydew) in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Melon (Galia/Honeydew).","","",""
"Mental Health","mental-health","","GENETIC","Signature","Health & Wellbeing","","","DRAFT","","241","TEMPLATED","Relates to inherited variation in genes involved in handling brain chemical messengers such as serotonin and dopamine. The links between single variants and mental health are weak and much disputed, and nothing here can indicate a condition.","","",""
"Methicillin Resistance","methicillin-resistance","","QUALITATIVE","Signature","UTI","","","DRAFT","","199","","A test for the genetic marker that makes staphylococci resistant to methicillin and the related antibiotics. It describes a property of bacteria in the sample rather than a measurement of the person.","","",""
"Microalbumin/Creatinine Ratio","microalbumin-creatinine-ratio","","MEASURED","Insight 360; Signature","Kidney Health; Diabetes Health","","","DRAFT","","206","","The amount of albumin in a urine sample expressed against that sample’s creatinine, which corrects for how dilute it was. It is the standard way of detecting small amounts of protein passing into the urine.","","",""
"Microbiome weight gain conditions","microbiome-weight-gain-conditions","","COMPOSITION","Signature","Bacterial Composition","","","DRAFT","","229","","A composite reading built from the proportions of bacterial groups that some published studies have associated with body weight. Those associations have been inconsistent, and this is not a measurement of weight or of metabolism.","","",""
"Milk (Buffalo) (IgG)","milk-buffalo-igg","","SENSITIVITY","Signature","Food Sensitivity: Dairy & Eggs","","yes","DRAFT","","406","TEMPLATE-FAMILY","Measures IgG antibodies to Milk (Buffalo) in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Milk (Buffalo).","","",""
"Milk (Cow) (IgG)","milk-cow-igg","","SENSITIVITY","Signature","Food Sensitivity: Dairy & Eggs","","yes","DRAFT","","398","TEMPLATE-FAMILY","Measures IgG antibodies to Milk (Cow) in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Milk (Cow).","","",""
"Milk (Goat) (IgG)","milk-goat-igg","","SENSITIVITY","Signature","Food Sensitivity: Dairy & Eggs","","yes","DRAFT","","400","TEMPLATE-FAMILY","Measures IgG antibodies to Milk (Goat) in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Milk (Goat).","","",""
"Milk (Sheep) (IgG)","milk-sheep-igg","","SENSITIVITY","Signature","Food Sensitivity: Dairy & Eggs","","yes","DRAFT","","402","TEMPLATE-FAMILY","Measures IgG antibodies to Milk (Sheep) in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Milk (Sheep).","","",""
"Millet (IgG)","millet-igg","","SENSITIVITY","Signature","Food Sensitivity: Grains","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Millet in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Millet.","","",""
"Mint (IgG)","mint-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","386","TEMPLATE-FAMILY","Measures IgG antibodies to Mint in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Mint.","","",""
"Monkfish (IgG)","monkfish-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","394","TEMPLATE-FAMILY","Measures IgG antibodies to Monkfish in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Monkfish.","","",""
"Monocyte Chemotactic Protein-1","mcp-1","","MEASURED","Insight 360; Signature","Infection & Inflammation; Stress","","","DRAFT","","151","","Monocyte chemotactic protein 1, a signalling protein that draws monocytes towards inflamed tissue. It is measured as a research marker of inflammation.","","",""
"Monocyte Count","monocytes","","MEASURED","Core; Insight 360; Signature","Full Blood Count","","","DRAFT","","305","","A type of white blood cell that clears damaged cells and helps coordinate the immune response.","Can reflect a chronic infection or an inflammatory process.","Uncommon in isolation and usually interpreted alongside the rest of the blood count.","Read alongside the other white cell types rather than on its own."
"Morganella morganii","morganella-morganii","","QUALITATIVE","Signature","UTI","","","DRAFT","","169","","Morganella morganii, found in the gut and in the environment and an occasional cause of urinary infection. The panel reports whether it was detected in the urine sample.","","",""
"Mulberry (IgG)","mulberry-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","394","TEMPLATE-FAMILY","Measures IgG antibodies to Mulberry in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Mulberry.","","",""
"Muscle Composition","muscle-composition","","GENETIC","Signature","Athletic Performance","","","DRAFT","","240","","Relates to variants such as those in the ACTN3 gene, associated with the proportions of fast and slow twitch muscle fibres. It describes an inherited tendency, and training has a far larger bearing on performance than any of these variants.","","",""
"Muscle Mass","muscle-mass","","GENETIC","Signature","Athletic Performance","","","DRAFT","","197","TEMPLATED","Relates to inherited variation in genes associated with muscle bulk across populations. The contribution of any single variant is small, and this is not a measurement of how much muscle is present.","","",""
"Muscle Recovery","muscle-recovery","","GENETIC","Signature","Athletic Performance","","","DRAFT","","178","TEMPLATED","Relates to inherited variation in genes involved in inflammation and tissue repair after exercise. The evidence linking these variants to how anyone actually recovers is limited.","","",""
"Mushroom (IgG)","mushroom-igg","","SENSITIVITY","Signature","Food Sensitivity: Misc","","yes","DRAFT","","394","TEMPLATE-FAMILY","Measures IgG antibodies to Mushroom in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Mushroom.","","",""
"Mussel (IgG)","mussel-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Mussel in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Mussel.","","",""
"Mustard Seed (IgG)","mustard-seed-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","402","TEMPLATE-FAMILY","Measures IgG antibodies to Mustard Seed in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Mustard Seed.","","",""
"Myoglobin","myoglobin","","MEASURED","Insight 360; Signature","Heart Health; Muscle & Joint Health","","","DRAFT","","199","","A protein that stores oxygen inside muscle cells and passes into the blood when muscle is damaged. It rises and clears quickly, and it does not distinguish heart muscle from the muscles of the limbs.","","",""
"Nectarine (IgG)","nectarine-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","396","TEMPLATE-FAMILY","Measures IgG antibodies to Nectarine in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Nectarine.","","",""
"Nettle (IgG)","nettle-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Nettle in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Nettle.","","",""
"Neuron Specific Enolase","nse","","MEASURED","Insight 360; Signature","Tumour Markers","","","DRAFT","","250","","Neuron specific enolase, an enzyme found in nerve cells and in cells of the neuroendocrine system. It is used as a tumour marker for certain neuroendocrine and small cell tumours, and any breakdown of red blood cells in the sample affects the result.","","",""
"Neutrophil Gelatinase Associated Lipocalin (NGAL)","ngal","","MEASURED","Insight 360; Signature","Kidney Health","","","DRAFT","","231","","Neutrophil gelatinase associated lipocalin, released by the kidney tubules and by certain white blood cells when they are under stress. It is studied as an early signal of kidney injury and is not yet part of routine clinical care.","","",""
"Neutrophils","neutrophils","","MEASURED","Ran Chip Insight 360; Core; Insight 360; Signature","Full Blood Count","","","DRAFT","","214","","The most common type of white blood cell, first responders to infection.","Can indicate bacterial infection, inflammation, or stress.","Can increase susceptibility to infection.","Levels shift quickly with acute illness."
"Nitrite (urine)","nitrite-urine","","MEASURED","Signature; Insight 360","Urinalysis","","","DRAFT","","219","","A urine dipstick reading for nitrite. Several urinary bacteria convert nitrate in urine into nitrite, so the square is an indirect screen for infection, and bacteria that do not make that conversion will not show on it.","","",""
"Non-Esterified Fatty Acids","nefa","","MEASURED","Insight 360; Signature","Diabetes Health","","","DRAFT","","230","","Fatty acids circulating unattached to other molecules, released when the body draws on its fat stores. They are measured mainly in research into fat and glucose metabolism, and they move sharply with fasting and with recent meals.","","",""
"Nutmeg (IgG)","nutmeg-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Nutmeg in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Nutmeg.","","",""
"Oat (IgG)","oat-igg","","SENSITIVITY","Signature","Food Sensitivity: Grains","","yes","DRAFT","","384","TEMPLATE-FAMILY","Measures IgG antibodies to Oat in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Oat.","","",""
"Octopus (IgG)","octopus-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","392","TEMPLATE-FAMILY","Measures IgG antibodies to Octopus in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Octopus.","","",""
"Oestradiol","oestradiol","","MEASURED","Advanced GP3 (Female); HSC14 Fertility; Core; Insight 360; Signature","Male Hormone; Female Hormone","","","DRAFT","","193","","The main form of oestrogen, central to the menstrual cycle and bone health.","","Can relate to menopause or reduced ovarian function.","Levels vary naturally across the menstrual cycle and life stage."
"Olive (IgG)","olive-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","388","TEMPLATE-FAMILY","Measures IgG antibodies to Olive in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Olive.","","",""
"Omega 3 and Omega 6 Benefit","omega-3-and-omega-6-benefit","","GENETIC","Signature","Diet & Nutrition","","","DRAFT","","207","","Relates to variants in the FADS genes, which affect how efficiently plant omega 3 and omega 6 fats are converted into their longer chain forms. What this means in practice for diet is still being worked out.","","",""
"Omega-3 Index","omega-3-index","","MEASURED","Signature; RP10 Heart Health; Ran Chip Insight 360; Advanced GP3 (Female); Advanced GP3 (Male); Nutritional Health HSC15; RP3 Metabolic Syndrome; HSC14 Fertility; Core; Insight 360","","","","DRAFT","","197","","The proportion of omega-3 fatty acids in your red blood cell membranes.","","Lower levels are linked to increased cardiovascular risk.","Oily fish, or omega-3 supplementation, raises this over 2–3 months."
"Onion (IgG)","onion-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","388","TEMPLATE-FAMILY","Measures IgG antibodies to Onion in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Onion.","","",""
"Orange (IgG)","orange-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Orange in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Orange.","","",""
"Ostrich (IgG)","ostrich-igg","","SENSITIVITY","Signature","Food Sensitivity: Meat","","yes","DRAFT","","392","TEMPLATE-FAMILY","Measures IgG antibodies to Ostrich in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Ostrich.","","",""
"Oxygen Saturation","oxygen-saturation","","MEASURED","Insight 360; Signature","Personal Health Measurements","","","DRAFT","","168","","The percentage of haemoglobin currently carrying oxygen, read through a clip on the finger. It is recorded at your appointment rather than measured from a blood sample.","","",""
"Oyster (IgG)","oyster-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Oyster in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Oyster.","","",""
"P-Selectin","p-selectin","","MEASURED","Insight 360; Signature","Infection & Inflammation","","","DRAFT","","191","","An adhesion molecule stored inside platelets and the lining of blood vessels and brought to the surface when either is activated. It is a research marker of platelet and vessel wall activity.","","",""
"Pancreatic Amylase","pancreatic-amylase","","MEASURED","Insight 360; Signature","Pancreatic Health","","","DRAFT","","173","","The form of amylase, a starch-digesting enzyme, that comes specifically from the pancreas. Measuring this form separates it from the amylase produced by the salivary glands.","","",""
"Papaya (IgG)","papaya-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Papaya in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Papaya.","","",""
"Parathyroid Hormone (PTH)","pth","","MEASURED","Insight 360; Signature","Kidney Health; Bone Health","","","DRAFT","","195","","Parathyroid hormone, released by four small glands in the neck to regulate the amount of calcium in the blood. It is interpreted alongside calcium, phosphate and vitamin D rather than on its own.","","",""
"Parsley (IgG)","parsley-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","392","TEMPLATE-FAMILY","Measures IgG antibodies to Parsley in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Parsley.","","",""
"Partridge (IgG)","partridge-igg","","SENSITIVITY","Signature","Food Sensitivity: Meat","","yes","DRAFT","","396","TEMPLATE-FAMILY","Measures IgG antibodies to Partridge in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Partridge.","","",""
"Pathogenic bacteria","pathogenic-bacteria","","COMPOSITION","Signature","Bacterial Composition","","","DRAFT","","241","TEMPLATED","The share of your gut microbiome made up of groups that include species capable of causing illness. Many of these live in the gut without causing any, so a proportion here is not the same thing as an infection and this is not a test for one.","","",""
"Peach (IgG)","peach-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","388","TEMPLATE-FAMILY","Measures IgG antibodies to Peach in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Peach.","","",""
"Peanut (IgG)","peanut-igg","","SENSITIVITY","Signature","Food Sensitivity: Nuts & Seeds","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Peanut in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Peanut.","","",""
"Pear (IgG)","pear-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","386","TEMPLATE-FAMILY","Measures IgG antibodies to Pear in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Pear.","","",""
"Peas (IgG)","peas-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","386","TEMPLATE-FAMILY","Measures IgG antibodies to Peas in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Peas.","","",""
"Pepper (Green/Red/Yellow) (IgG)","pepper-green-red-yellow-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","428","TEMPLATE-FAMILY","Measures IgG antibodies to Pepper (Green/Red/Yellow) in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Pepper (Green/Red/Yellow).","","",""
"Peppercorn (White/Black) (IgG)","peppercorn-white-black-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","426","TEMPLATE-FAMILY","Measures IgG antibodies to Peppercorn (White/Black) in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Peppercorn (White/Black).","","",""
"Peppermint (IgG)","peppermint-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","398","TEMPLATE-FAMILY","Measures IgG antibodies to Peppermint in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Peppermint.","","",""
"Pepsinogen 1","pepsinogen-1","","MEASURED","Insight 360; Signature","Digestive & Bowel Health","","","DRAFT","","192","","The inactive precursor of pepsin, a protein-digesting enzyme, released by cells in the main body of the stomach. It is measured as an indicator of the state of that part of the stomach lining.","","",""
"Pepsinogen 2","pepsinogen-2","","MEASURED","Insight 360; Signature","Digestive & Bowel Health","","","DRAFT","","186","","A second form of the pepsin precursor, released from a wider area of the stomach and the upper small intestine. It is usually read as a ratio against pepsinogen 1 rather than on its own.","","",""
"Perch (IgG)","perch-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","388","TEMPLATE-FAMILY","Measures IgG antibodies to Perch in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Perch.","","",""
